,cramers_v,nmi,chi2,p_value,dof
SPI,0.12618757326284985,0.03254403991686643,36.86244794041382,0.05949434915679838,25.0
SDI,0.48195303483179897,0.4279552013633927,537.7252548189905,1.1395437021524895e-97,25.0
NDVI,0.6436667513459895,0.18094779067223687,383.6481771659656,2.8337485075816313e-76,10.0
